프로골퍼	프로/NNG + 골퍼/NNG
아쉬워했다.	아쉬워하/VV + 았/EP + 다/EF + ./SF

유승민은	유승민/NNP + 은/JX
올해	올해/NNG
종합선수권대회에서	종합/NNG + 선수권/NNG + 대회/NNG + 에서/JKB
실업	실업/NNG
1년차	1/SN + 년/NNB + 차/NNB
이정삼(KT&G)에게	이정삼/NNP + (/SS + KT/SL + &/SW + G/SL + )/SS + 에게/JKB
패해	패/NNG + 하/XSV + 아/EC
32강전에서	32/SN + 강/NNG + 전/NNG + 에서/JKB
탈락하는	탈락/NNG + 하/XSV + 는/ETM
곤욕을	곤욕/NNG + 을/JKO
치렀으나	치르/VV + 었/EP + 으나/EC
그랜드	그랜드/NNG
파이널스의	파이널스/NNG + 의/JKG
호성적으로	호성적/NNG + 으로/JKB
내년을	내년/NNG + 을/JKO
기약하게	기약/NNG + 하/XSV + 게/EC
됐다.	되/VV + 었/EP + 다/EC

코리아	코리아/NNP
아이스하키리그	아이스하키/NNG + 리그/NNG
정규리그	정규/NNG + 리그/NNG
1위팀	1/SN + 위/NNB + 팀/NNG
한라	한라/NNP
위니아가	위니아/NNP + 가/JKS
14일	14/SN + 일/NNB
서울	서울/NNP
목동아이스링크에서	목동아이스링크/NNP + 에서/JKB
열린	열리/VV + ㄴ/ETM
03~04	03/SN + ~/SO + 04/SN
아이스하키	아이스하키/NNG
아시아리그에서	아시아/NNP + 리그/NNG + 에서/JKB
일본	일본/NNP
닛코	닛코/NNP
아이스벅스를	아이스벅스/NNP + 를/JKO
6대4로	6/SN + 대/NNB + 4/SN + 로/JKB
제치고	제치/VV + 고/EC
2연승,	2/SN + 연승/NNG + ,/SP
최하위에서	최/XPN + 하위/NNG + 에서/JKB
탈출했다.	탈출/NNG + 하/XSV + 았/EP + 다/EF + ./SF

한라는	한라/NNP + 는/JX
13일	13/SN + 일/NNB
경기에서는	경기/NNG + 에서/JKB + 는/JX
심의식의	심의식/NNP + 의/JKG
결승골에	결승/NNG + 골/NNG + 에/JKB
힘입어	힘입/VV + 어/EC
4대3으로	4/SN + 대/NNB + 3/SN + 으로/JKB
이겼다.	이기/VV + 었/EP + 다/EF + ./SF

1피리어드	1/SN + 피리어드/NNG
23초	23/SN + 초/NNB
만에	만/NNB + 에/JKB
미로슬라프의	미로슬라프/NNP + 의/JKG
어시스트를	어시스트/NNG + 를/JKO
송동환이	송동환/NNP + 이/JKS
골로	골/NNG + 로/JKB
연결시킨	연결/NNG + 시키/XSV + ㄴ/ETM
한라는	한라/NNP + 는/JX
12분19초와	12/SN + 분/NNB + 19/SN + 초/NNB + 와/JC
17분44초에	17/SN + 분/NNB + 44/SN + 초/NNB + 에/JKB
김홍일이	김홍일/NNP + 이/JKS
연이어	연잇/VV + 어/EC
아이스벅스	아이스벅스/NNP
골문을	골문/NNG + 을/JKO
흔들어	흔들/VV + 어/EC
3-0으로	3/SN + -/SS + 0/SN + 으로/JKB
앞섰다.	앞서/VV + 었/EP + 다/EF + ./SF

2피리어드	2/SN + 피리어드/NNG
20초	20/SN + 초/NNB
만에	만/NNB + 에/JKB
송동환의	송동환/NNP + 의/JKG
추가골로	추가/NNG + 골/NNG + 로/JKB
4-0으로	4/SN + -/SS + 0/SN + 으로/JKB
앞선	앞서/VV + ㄴ/ETM
한라는	한라/NNP + 는/JX
이후	이후/NNG
펼쳐진	펼쳐지/VV + ㄴ/ETM
아이스벅스의	아이스벅스/NNP + 의/JKG
공세에	공세/NNG + 에/JKB
4-3으로	4/SN + -/SS + 3/SN + 으로/JKB
쫓기기도	쫓기/VV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

하지만	하지만/MAJ
3피리어드	3/SN + 피리어드/NNG
5분22초와	5/SN + 분/NNB + 22/SN + 초/NNB + 와/JC
5분49초에	5/SN + 분/NNB + 49/SN + 초/NNB + 에/JKB
조종하·신현대가	조종하/NNP + ·/SP + 신현대/NNP + 가/JKS
추가골을	추가/NNG + 골/NNG + 을/JKO
넣으며	넣/VV + 으며/EC
승리를	승리/NNG + 를/JKO
굳혔다.	굳히/VV + 었/EP + 다/EF + ./SF

한라는	한라/NNP + 는/JX
아시아리그서	아시아/NNP + 리그/NNG + 서/JKB
3승6패를	3/SN + 승/NNB + 6/SN + 패/NNG + 를/JKO
기록,	기록/NNG + ,/SP
2승1무7패인	2/SN + 승/NNB + 1/SN + 무/NNG + 7/SN + 패/NNG + 이/VCP + ㄴ/ETM
아이스벅스를	아이스벅스/NNP + 를/JKO
제치고	제치/VV + 고/EC
5개팀(일본이	5/SN + 개/NNB + 팀/NNG + (/SS + 일본/NNP + 이/JKS
4개팀)	4/SN + 개/NNB + 팀/NNG + )/SS
중	중/NNB
4위를	4/SN + 위/NNB + 를/JKO
달렸다.	달리/VV + 었/EP + 다/EF + ./SF

한국여자핸드볼대표팀이	한국/NNP + 여자/NNG + 핸드볼/NNG + 대표/NNG + 팀/NNG + 이/JKS
헝가리의	헝가리/NNP + 의/JKG
벽을	벽/NNG + 을/JKO
넘지	넘/VV + 지/EC
못하고	못하/VX + 고/EC
제16회	제/XPN + 16/SN + 회/NNB
세계여자핸드볼선수권대회	세계/NNG + 여자/NNG + 핸드볼/NNG + 선수권/NNG + 대회/NNG
결승진출의	결승/NNG + 진출/NNG + 의/JKG
꿈을	꿈/NNG + 을/JKO
접었다.	접/VV + 었/EP + 다/EF + ./SF

한국은	한국/NNP + 은/JX
14일(이하	14/SN + 일/NNB + (/SS + 이하/NNG
한국시각)	한국/NNP + 시각/NNG + )/SS
크로아티아	크로아티아/NNP
자그레브에서	자그레브/NNP + 에서/JKB
열린	열리/VV + ㄴ/ETM
대회	대회/NNG
준결승에서	준/XPN + 결승/NNG + 에서/JKB
오성옥이	오성옥/NNP + 이/JKS
혼자	혼자/NNG
10골을	10/SN + 골/NNG + 을/JKO
몰아넣으며	몰아넣/VV + 으며/EC
분전했지만	분전/NNG + 하/XSV + 았/EP + 지만/EC
헝가리에	헝가리/NNP + 에/JKB
38대40으로	38/SN + 대/NNB + 40/SN + 으로/JKB
아깝게	아깝/VA + 게/EC
져	지/VV + 어/EC
8년	8/SN + 년/NNB
만의	만/NNB + 의/JKG
우승	우승/NNG
도전이	도전/NNG + 이/JKS
좌절됐다.	좌절/NNG + 되/XSV + 었/EP + 다/EF + ./SF

그래도	그러/VV + 어도/EC
올림픽	올림픽/NNG
출전	출전/NNG
티켓을	티켓/NNG + 을/JKO
확보한	확보/NNG + 하/XSV + ㄴ/ETM
것이	것/NNB + 이/JKS
위안이	위안/NNG + 이/JKC
됐다.	되/VV + 었/EP + 다/EC

전반	전반/NNG
25분까지	25/SN + 분/NNB + 까지/JX
장소희(4골)를	장소희/NNP + (/SS + 4/SN + 골/NNG + )/SS + 를/JKO
앞세워	앞세우/VV + 어/EC
줄곧	줄곧/MAG
2골차로	2/SN + 골/NNG + 차/NNG + 로/JKB
리드해가던	리드/NNG + 하/XSV + 아/EC + 가/VX + 던/ETM
한국은	한국/NNP + 은/JX
초반	초반/NNG
볼	볼/NNG
배급에	배급/NNG + 에/JKB
주력하던	주력/NNG + 하/XSV + 던/ETM
아니타	아니타/NNP
괴르비치(4골	괴르비치/NNP + (/SS + 4/SN + 골/NNG
10어시스트)에게	10/SN + 어시스트/NNG + )/SS + 에게/JKB
기습적인	기습/NNG + 적/XSN + 이/VCP + ㄴ/ETM
연속골을	연속/NNG + 골/NNG + 을/JKO
허용해	허용/NNG + 하/XSV + 아/EC
19-22로	19/SN + -/SS + 22/SN + 로/JKB
전반을	전반/NNG + 을/JKO
마쳤다.	마치/VV + 었/EP + 다/EF + ./SF

후반	후반/NNG
4분에	4/SN + 분/NNB + 에/JKB
24-24,	24/SN + -/SS + 24/SN + ,/SP
경기	경기/NNG
종료	종료/NNG
5분을	5/SN + 분/NNB + 을/JKO
남기고	남기/VV + 고/EC
36-36	36/SN + -/SS + 36/SN
동점을	동점/NNG + 을/JKO
만들기도	만들/VV + 기/ETN + 도/JX
했지만	하/VX + 았/EP + 지만/EC
수비불안과	수비/NNG + 불안/NNG + 과/JC
공격	공격/NNG
범실을	범실/NNG + 을/JKO
극복하지	극복/NNG + 하/XSV + 지/EC
못하고	못하/VX + 고/EC
무릎을	무릎/NNG + 을/JKO
꿇었다.	꿇/VV + 었/EP + 다/EF + ./SF

헝가리는	헝가리/NNP + 는/JX
우크라이나를	우크라이나/NNP + 를/JKO
28대26으로	28/SN + 대/NNB + 26/SN + 으로/JKB
꺾은	꺾/VV + 은/ETM
프랑스와	프랑스/NNP + 와/JKB
우승을	우승/NNG + 을/JKO
다툰다.	다투/VV + ㄴ다/EF + ./SF

앞서	앞서/VV + 어/EC
벌어진	벌어지/VV + ㄴ/ETM
5·6위전에서는	5/SN + ·/SP + 6/SN + 위/NNB + 전/NNG + 에서/JKB + 는/JX
스페인이	스페인/NNP + 이/JKS
노르웨이에	노르웨이/NNP + 에/JKB
27대26으로	27/SN + 대/NNB + 26/SN + 으로/JKB
짜릿한	짜릿/XR + 하/XSA + ㄴ/ETM
승리를	승리/NNG + 를/JKO
거두고	거두/VV + 고/EC
아테네올림픽	아테네/NNP + 올림픽/NNG
본선행	본선행/NNG
막차를	막차/NNG + 를/JKO
탔다.	타/VV + 았/EP + 다/EF + ./SF

김병현(보스턴	김병현/NNP + (/SS + 보스턴/NNP
레드삭스)이	레드삭스/NNP + )/SS + 이/JKS
트레이드될	트레이드/NNG + 되/XSV + ㄹ/ETM
가능성이	가능/NNG + 성/XSN + 이/JKS
높아졌다.	높/VA + 아/EC + 지/VX + 었/EP + 다/EF + ./SF

ESPN은	ESPN/SL + 은/JX
14일	14/SN + 일/NNB
"레드삭스가	"/SS + 레드삭스/NNP + 가/JKS
오클랜드	오클랜드/NNP
애슬레틱스의	애슬레틱스/NNP + 의/JKG
마무리투수	마무리/NNG + 투수/NNG
키스	키스/NNP
폴크(Keith	폴크/NNP + (/SS + Keith/SL
Foulke)와	Foulke/SL + )/SS + 와/JKB
3년간	3/SN + 년/NNB + 간/NNG
2100만달러에	2100/SN + 만/NR + 달러/NNB + 에/JKB
계약했다"고	계약/NNG + 하/XSV + 았/EP + 다/EF + "/SS + 고/JKQ
보도했다.	보도/NNG + 하/XSV + 았/EP + 다/EF + ./SF

포크는	포크/NNP + 는/JX
9승1패43세이브·방어율	9/SN + 승/NNG + 1/SN + 패/NNG + 43/SN + 세이브/NNG + ·/SP + 방어/NNG + 율/XSN
2.08을	2/SN + ./SP + 08/SN + 을/JKO
기록하며	기록/NNG + 하/XSV + 며/EC
올	올/MM
시즌	시즌/NNG
아메리칸리그	아메리칸/NNG + 리그/NNG
구원왕에	구원왕/NNG + 에/JKB
오른	오르/VV + ㄴ/ETM
특급	특급/NNG
마무리투수.	마무리/NNG + 투수/NNG + ./SF

폴크의	폴크/NNP + 의/JKG
영입으로	영입/NNG + 으로/JKB
김병현과	김병현/NNP + 과/JC
스캇	스캇/NNP
윌리엄슨의	윌리엄슨/NNP + 의/JKG
입지가	입지/NNG + 가/JKS
불투명해졌다.	불/XPN + 투명/NNG + 하/XSA + 아/EC + 지/VX + 었/EP + 다/EF + ./SF

이미	이미/MAG
커트	커트/NNP
실링	실링/NNP
영입에	영입/NNG + 에/JKB
3년간	3/SN + 년/NNB + 간/NNG
평균연봉	평균/NNG + 연봉/NNG
1250만달러를	1250/SN + 만/NR + 달러/NNB + 를/JKO
투자한	투자/NNG + 하/XSV + ㄴ/ETM
데	데/NNB
이어	잇/VV + 어/EC
폴크를	폴크/NNP + 를/JKO
데려오는	데려오/VV + 는/ETM
데	데/NNB
거액을	거액/NNG + 을/JKO
쓴	쓰/VV + ㄴ/ETM
레드삭스로선	레드삭스/NNP + 로서/JKB + ㄴ/JX
2003시즌	2003/SN + 시즌/NNG
160만달러를	160/SN + 만/NR + 달러/NNB + 를/JKO
받은	받/VV + 은/ETM
윌리엄슨과	윌리엄슨/NNP + 과/JC
325만달러를	325/SN + 만/NR + 달러/NNB + 를/JKO
받은	받/VV + 은/ETM
김병현을	김병현/NNP + 을/JKO
모두	모두/MAG
또는	또는/MAG
한	한/MM
명을	명/NNB + 을/JKO
트레이드할	트레이드/NNG + 하/XSV + ㄹ/ETM
가능성이	가능/NNG + 성/XSN + 이/JKS
상대적으로	상대/NNG + 적/XSN + 으로/JKB
높아졌다.	높/VA + 아/EC + 지/VX + 었/EP + 다/EF + ./SF

김병현은	김병현/NNP + 은/JX
당초	당초/NNG
마무리역에서	마무리/NNG + 역/NNG + 에서/JKB
벗어나	벗어나/VV + 아/EC
'제5선발'을	'/SS + 제/XPN + 5/SN + 선발/NNG + '/SS + 을/JKO
맡을	맡/VV + 을/ETM
가능성이	가능/NNG + 성/XSN + 이/JKS
있었으나	있/VV + 었/EP + 으나/EC
제5선발투수로선	제/XPN + 5/SN + 선발/NNG + 투수/NNG + 로서/JKB + ㄴ/JX
연봉이	연봉/NNG + 이/JKS
너무	너무/MAG
많다는	많/VA + 다는/ETM
현지언론의	현지/NNG + 언론/NNG + 의/JKG
비판이	비판/NNG + 이/JKS
끊이지	끊이/VV + 지/EC
않고	않/VX + 고/EC
있는	있/VX + 는/ETM
상태.	상태/NNG + ./SF

이	이/MM
때문에	때문/NNB + 에/JKB
현지언론에선	현지/NNG + 언론/NNG + 에서/JKB + ㄴ/JX
김병현을	김병현/NNP + 을/JKO
트레이드	트레이드/NNG
가능성이	가능/NNG + 성/XSN + 이/JKS
가장	가장/MAG
높은	높/VA + 은/ETM
선수	선수/NNG
10명	10/SN + 명/NNB
중	중/NNB
한	한/MM
명으로	명/NNB + 으로/JKB
꼽고	꼽/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

◈문준	◈/SW + 문준/NNP
빙속월드컵	빙속/NNG + 월드컵/NNG
500m	500/SN + m/SL
1위	1/SN + 위/NNB

문준(한체대)이	문준/NNP + (/SS + 한체대/NNP + )/SS + 이/JKS
14일(한국시간)	14/SN + 일/NNB + (/SS + 한국/NNP + 시간/NNG + )/SS
미국	미국/NNP
솔트레이크시티에서	솔트레이크시티/NNP + 에서/JKB
열린	열리/VV + ㄴ/ETM
제5차	제/XPN + 5/SN + 차/NNB
스피드스케이팅월드컵	스피드/NNG + 스케이팅/NNG + 월드컵/NNG
디비전B(2부	디비전/NNG + B/SL + (/SS + 2/SN + 부/NNB
리그)	리그/NNG + )/SS
500ｍ에서	500/SN + ｍ/SW + 에서/JKB
35초44의	35/SN + 초/NNB + 44/SN + 의/JKG
기록으로	기록/NNG + 으로/JKB
팀	팀/NNG
동료	동료/NNG
최재봉(동두천시청·35초45)을	최재봉/NNP + (/SS + 동두천시청/NNP + ·/SP + 35/SN + 초/NNB + 45/SN + )/SS + 을/JKO
0.01초	0/SN + ./SP + 01/SN + 초/NNB
차로	차/NNG + 로/JKB
제치고	제치/VV + 고/EC
1위를	1/SN + 위/NNB + 를/JKO
차지했다.	차지/NNG + 하/XSV + 았/EP + 다/EF + ./SF

◈기아	◈/SW + 기아/NNP
외국인투수	외국인/NNG + 투수/NNG
마뇽	마뇽/NNP
영입	영입/NNG

프로야구	프로/NNG + 야구/NNG
기아	기아/NNP
타이거즈는	타이거즈/NNP + 는/JX
14일	14/SN + 일/NNB
도미니카공화국	도미니카공화국/NNP
출신	출신/NNG
우완투수	우완/NNG + 투수/NNG
훌리오	훌리오/NNP
마뇽을	마뇽/NNP + 을/JKO
영입하기로	영입/NNG + 하/XSV + 기/ETN + 로/JKB
했다.	하/VX + 았/EP + 다/EF + ./SF

◈북한축구	◈/SW + 북한/NNP + 축구/NNG
1년	1/SN + 년/NNB
출전	출전/NNG
금지	금지/NNG

아시아축구연맹(AFC)은	아시아축구연맹/NNP + (/SS + AFC/SL + )/SS + 은/JX
지난	지나/VV + ㄴ/ETM
11월	11/SN + 월/NNB
아시안컵축구선수권	아시안/NNG + 컵/NNG + 축구/NNG + 선수권/NNG
예선	예선/NNG
북한과	북한/NNP + 과/JC
이란	이란/NNP
경기의	경기/NNG + 의/JKG
폭죽	폭죽/NNG
사건으로	사건/NNG + 으로/JKB
북한	북한/NNP
선수단이	선수단/NNG + 이/JKS
철수한	철수/NNG + 하/XSV + ㄴ/ETM
것과	것/NNB + 과/JKB
관련,	관련/NNG + ,/SP
북한	북한/NNP
대표팀의	대표/NNG + 팀/NNG + 의/JKG
AFC	AFC/SL
주관	주관/NNG
대회	대회/NNG
1년	1/SN + 년/NNB
출전	출전/NNG
금지를	금지/NNG + 를/JKO
결정하고	결정/NNG + 하/XSV + 고/EC
8000달러의	8000/SN + 달러/NNB + 의/JKG
벌금을	벌금/NNG + 을/JKO
부과했다.	부과/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이란은	이란/NNP + 은/JX
벌금	벌금/NNG
1만달러에,	1/SN + 만/NR + 달러/NNB + 에/JKB + ,/SP
앞으로	앞/NNG + 으로/JKB
국제경기	국제/NNG + 경기/NNG
1경기를	1/SN + 경기/NNG + 를/JKO
관중	관중/NNG
없이	없이/MAG
치르도록	치르/VV + 도록/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

◈보카	◈/SW + 보카/NNP
주니어스	주니어스/NNG
도요타컵	도요타/NNP + 컵/NNG
우승	우승/NNG

14일	14/SN + 일/NNB
일본	일본/NNP
요코하마경기장에서	요코하마경기장/NNP + 에서/JKB
열린	열리/VV + ㄴ/ETM
유럽과	유럽/NNP + 과/JC
남미	남미/NNP
프로축구	프로/NNG + 축구/NNG
클럽대항전인	클럽/NNG + 대항전/NNG + 이/VCP + ㄴ/ETM
제	제/XPN
24회	24/SN + 회/NNB
도요타컵	도요타/NNP + 컵/NNG
대회에서	대회/NNG + 에서/JKB
아르헨티나의	아르헨티나/NNP + 의/JKG
보카	보카/NNP
주니어스가	주니어스/NNG + 가/JKS
이탈리아의	이탈리아/NNP + 의/JKG
AC밀란과	AC/SL + 밀란/NNP + 과/JKB
1-1로	1/SN + -/SS + 1/SN + 로/JKB
비긴	비기/VV + ㄴ/ETM
뒤	뒤/NNG
승부차기에서	승부차기/NNG + 에서/JKB
3대1로	3/SN + 대/NNB + 1/SN + 로/JKB
승리했다.	승리/NNG + 하/XSV + 았/EP + 다/EF + ./SF

보카	보카/NNP
주니어스는	주니어스/NNG + 는/JX
2000년	2000/SN + 년/NNB
21회	21/SN + 회/NNB
대회이후	대회/NNG + 이후/NNG
3년	3/SN + 년/NNB
만에	만/NNB + 에/JKB
정상에	정상/NNG + 에/JKB
올랐다.	오르/VV + 았/EP + 다/EF + ./SF

한국의	한국/NNP + 의/JKG
8강행이	8/SN + 강행/NNG + 이/JKS
좌절됐던	좌절/NNG + 되/XSV + 었/EP + 던/ETM
2003	2003/SN
세계청소년	세계/NNG + 청소년/NNG
축구선수권	축구/NNG + 선수권/NNG
패권이	패권/NNG + 이/JKS
브라질-아르헨티나,	브라질/NNP + -/SS + 아르헨티나/NNP + ,/SP
스페인-콜롬비아의	스페인/NNP + -/SS + 콜롬비아/NNP + 의/JKG
4강	4/SN + 강/NNG
대결로	대결/NNG + 로/JKB
압축됐다.	압축/NNG + 되/XSV + 었/EP + 다/EF + ./SF

남미	남미/NNP
축구의	축구/NNG + 의/JKG
양대	양대/MM
산맥	산맥/NNG
브라질과	브라질/NNP + 과/JC
아르헨티나는	아르헨티나/NNP + 는/JX
13일(이하	13/SN + 일/NNB + (/SS + 이하/NNG
한국시각)	한국/NNP + 시각/NNG + )/SS
아랍에미리트연합(UAE)	아랍에미리트연합/NNP + (/SS + UAE/SL + )/SS
아부다비에서	아부다비/NNP + 에서/JKB
열린	열리/VV + ㄴ/ETM
대회	대회/NNG
준준결승에서	준/XPN + 준/XPN + 결승/NNG + 에서/JKB
각각	각각/MAG
일본을	일본/NNP + 을/JKO
5대1로,	5/SN + 대/NNB + 1/SN + 로/JKB + ,/SP
미국을	미국/NNP + 을/JKO
2대1로	2/SN + 대/NNB + 1/SN + 로/JKB
꺾고	꺾/VV + 고/EC
4강에	4/SN + 강/NNG + 에/JKB
올랐다.	오르/VV + 았/EP + 다/EF + ./SF

두바이에서	두바이/NNP + 에서/JKB
열린	열리/VV + ㄴ/ETM
준준결승에서	준/XPN + 준/XPN + 결승/NNG + 에서/JKB
스페인은	스페인/NNP + 은/JX
캐나다를	캐나다/NNP + 를/JKO
2대1로,	2/SN + 대/NNB + 1/SN + 로/JKB + ,/SP
콜롬비아는	콜롬비아/NNP + 는/JX
UAE를	UAE/SL + 를/JKO
1대0으로	1/SN + 대/NNB + 0/SN + 으로/JKB
꺾고	꺾/VV + 고/EC
4강에	4/SN + 강/NNG + 에/JKB
합류했다.	합류/NNG + 하/XSV + 았/EP + 다/EF + ./SF

오는	오/VV + 는/ETM
15일	15/SN + 일/NNB
밤	밤/NNG
열릴	열리/VV + ㄹ/ETM
브라질과	브라질/NNP + 과/JC
아르헨티나의	아르헨티나/NNP + 의/JKG
준결승전은	준/XPN + 결승전/NNG + 은/JX
이번	이번/NNG
대회	대회/NNG
빅게임	빅게임/NNG
중의	중/NNB + 의/JKG
빅게임.	빅게임/NNG + ./SF

대회	대회/NNG
3회	3/SN + 회/NNB
우승국인	우승국/NNG + 이/VCP + ㄴ/ETM
브라질과	브라질/NNP + 과/JC
4회	4/SN + 회/NNB
우승	우승/NNG
기록의	기록/NNG + 의/JKG
아르헨티나가	아르헨티나/NNP + 가/JKS
피할	피하/VV + ㄹ/ETM
수	수/NNB
없는	없/VA + 는/ETM
숙명의	숙명/NNG + 의/JKG
대결을	대결/NNG + 을/JKO
벌인다.	벌이/VV + ㄴ다/EF + ./SF

브라질의	브라질/NNP + 의/JKG
마르코스	마르코스/NNP
파쿠에타	파쿠에타/NNP
감독은	감독/NNG + 은/JX
"아르헨티나와의	"/SS + 아르헨티나/NNP + 와/JKB + 의/JKG
4강전은	4/SN + 강/NNG + 전/NNG + 은/JX
우리에게	우리/NP + 에게/JKB
결승전이나	결승전/NNG + 이나/JX
다름없다"며	다름없/VA + 다/EC + "/SS + 며/EC
승리	승리/NNG
의지를	의지/NNG + 를/JKO
밝혔다.	밝히/VV + 었/EP + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
대회	대회/NNG
우승국인	우승국/NNG + 이/VCP + ㄴ/ETM
아르헨티나	아르헨티나/NNP
역시	역시/MAG
대회	대회/NNG
MVP	MVP/SL
후보인	후보/NNG + 이/VCP + ㄴ/ETM
페르난도	페르난도/NNP
카베나기를	카베나기/NNP + 를/JKO
앞세워	앞세우/VV + 어/EC
브라질을	브라질/NNP + 을/JKO
넘어선다는	넘어서/VV + ㄴ다는/ETM
전략이다.	전략/NNG + 이/VCP + 다/EF + ./SF

16일	16/SN + 일/NNB
콜롬비아와	콜롬비아/NNP + 와/JKB
맞붙을	맞붙/VV + 을/ETM
스페인은	스페인/NNP + 은/JX
상대적으로	상대/NNG + 적/XSN + 으로/JKB
쉬운	쉽/VA + ㄴ/ETM
경기를	경기/NNG + 를/JKO
하게	하/VV + 게/EC
됐다며	되/VV + 었/EP + 다며/EC
결승행을	결승행/NNG + 을/JKO
낙관하는	낙관/NNG + 하/XSV + 는/ETM
표정이다.	표정/NNG + 이/VCP + 다/EF + ./SF

브라질은	브라질/NNP + 은/JX
13일	13/SN + 일/NNB
8강전에서	8/SN + 강전/NNG + 에서/JKB
다니엘	다니엘/NNP
카발로와	카발로/NNP + 와/JC
닐마르가	닐마르/NNP + 가/JKS
2골씩을	2/SN + 골/NNG + 씩/XSN + 을/JKO
터뜨리며	터뜨리/VV + 며/EC
맹활약한	맹활약/NNG + 하/XSV + ㄴ/ETM
끝에	끝/NNG + 에/JKB
일본을	일본/NNP + 을/JKO
5대1로	5/SN + 대/NNB + 1/SN + 로/JKB
쉽게	쉽/VA + 게/EC
눌렀다.	누르/VV + 었/EP + 다/EF + ./SF

카발로는	카발로/NNP + 는/JX
전반	전반/NNG
2분	2/SN + 분/NNB
만에	만/NNB + 에/JKB
선제골을	선제골/NNG + 을/JKO
넣은	넣/VV + 은/ETM
뒤	뒤/NNG
11분	11/SN + 분/NNB
후	후/NNG
추가골을	추가/NNG + 골/NNG + 을/JKO
넣는	넣/VV + 는/ETM
폭발력을	폭발력/NNG + 을/JKO
보였고	보이/VV + 었/EP + 고/EC
클레베르가	클레베르/NNP + 가/JKS
전반	전반/NNG
15분에,	15/SN + 분/NNB + 에/JKB + ,/SP
닐마르는	닐마르/NNP + 는/JX
34분에	34/SN + 분/NNB + 에/JKB
한	한/MM
골을	골/NNG + 을/JKO
더	더/MAG
넣어	넣/VV + 어/EC
일찌감치	일찌감치/MAG
승세를	승세/NNG + 를/JKO
굳혔다.	굳히/VV + 었/EP + 다/EF + ./SF

수세에	수세/NNG + 에/JKB
몰린	몰리/VV + ㄴ/ETM
일본은	일본/NNP + 은/JX
브라질	브라질/NNP
진영을	진영/NNG + 을/JKO
공략했지만	공략/NNG + 하/XSV + 았/EP + 지만/EC
후반	후반/NNG
종료	종료/NNG
직전	직전/NNG
히라야마	히라야마/NNP
소타가	소타/NNP + 가/JKS
한	한/MM
골을	골/NNG + 을/JKO
성공시켜	성공/NNG + 시키/XSV + 어/EC
영패를	영패/NNG + 를/JKO
모면하는	모면/NNG + 하/XSV + 는/ETM
데	데/NNB
그쳤다.	그치/VV + 었/EP + 다/EF + ./SF

같은	같/VA + 은/ETM
날	날/NNG
아르헨티나와	아르헨티나/NNP + 와/JC
미국의	미국/NNP + 의/JKG
경기는	경기/NNG + 는/JX
연장까지	연장/NNG + 까지/JX
가는	가/VV + 는/ETM
접전	접전/NNG
끝에	끝/NNG + 에/JKB
아르헨티나의	아르헨티나/NNP + 의/JKG
카베나기가	카베나기/NNP + 가/JKS
역전	역전/NNG
골든골을	골든골/NNG + 을/JKO
성공시켜	성공/NNG + 시키/XSV + 어/EC
겨우	겨우/MAG
4강에	4/SN + 강/NNG + 에/JKB
올랐다.	오르/VV + 았/EP + 다/EF + ./SF

호나우두와	호나우두/NNP + 와/JC
지네딘	지네딘/NNP
지단,	지단/NNP + ,/SP
데이비드	데이비드/NNP
베컴	베컴/NNP
등	등/NNB
'호화군단'이	'/SS + 호화/NNG + 군단/NNG + '/SS + 이/JKS
이끄는	이끌/VV + 는/ETM
레알	레알/NNP
마드리드(스페인)가	마드리드/NNP + (/SS + 스페인/NNP + )/SS + 가/JKS
최고	최고/NNG
수문장	수문장/NNG
올리버	올리버/NNP
칸이	칸/NNP + 이/JKS
버티고	버티/VV + 고/EC
있는	있/VX + 는/ETM
바이에른	바이에른/NNP
뮌헨(독일)과	뮌헨/NNP + (/SS + 독일/NNP + )/SS + 과/JKB
2003~04	2003/SN + ~/SO + 04/SN
유럽축구연맹(UEFA)	유럽축구연맹/NNP + (/SS + UEFA/SL + )/SS
챔피언스리그	챔피언스/NNG + 리그/NNG
8강	8/SN + 강/NNG
길목에서	길목/NNG + 에서/JKB
'외나무다리의	'/SS + 외나무다리/NNG + 의/JKG
결투'를	결투/NNG + '/SS + 를/JKO
벌인다.	벌이/VV + ㄴ다/EF + ./SF

이천수가	이천수/NNP + 가/JKS
뛰는	뛰/VV + 는/ETM
