러시아의	러시아/NNP + 의/JKG
흑백	흑백/NNG
사진	사진/NNG
한	한/MM
장으로	장/NNB + 으로/JKB
이	이/MM
비밀	비밀/NNG
서재의	서재/NNG + 의/JKG
당시	당시/NNG
분위기를	분위기/NNG + 를/JKO
그대로	그대로/MAG
재현하는	재현/NNG + 하/XSV + 는/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

이렇게	이렇/VA + 게/EC
만든	만들/VV + ㄴ/ETM
디지털	디지털/NNG
배경	배경/NNG
화면에다	화면/NNG + 에다/JKB
배우들의	배우/NNG + 들/XSN + 의/JKG
연기	연기/NNG
사진을	사진/NNG + 을/JKO
합성하면	합성/NNG + 하/XSV + 면/EC
한	한/MM
편의	편/NNB + 의/JKG
영화	영화/NNG
제작이	제작/NNG + 이/JKS
끝나게	끝나/VV + 게/EC
된다.	되/VV + ㄴ다/EF + ./SF

빌럽스는	빌럽스/NNP + 는/JX
"디지털	"/SS + 디지털/NNG
영상	영상/NNG
기법은	기법/NNG + 은/JX
화면	화면/NNG
구성에	구성/NNG + 에/JKB
무한한	무한/NNG + 하/XSA + ㄴ/ETM
힘을	힘/NNG + 을/JKO
발휘함으로써	발휘/NNG + 하/XSV + ㅁ/ETN + 으로써/JKB
영화	영화/NNG
감독에게	감독/NNG + 에게/JKB
완벽한	완벽/NNG + 하/XSA + ㄴ/ETM
통제권을	통제/NNG + 권/XSN + 을/JKO
준다"면서	주/VV + ㄴ다/EC + "/SS + 면서/EC
"무엇보다	"/SS + 무엇/NP + 보다/JKB
상상력을	상상력/NNG + 을/JKO
초월하는	초월/NNG + 하/XSV + 는/ETM
환상적인	환상/NNG + 적/XSN + 이/VCP + ㄴ/ETM
특수	특수/NNG
효과를	효과/NNG + 를/JKO
만들어	만들/VV + 어/EC
낼	내/VX + ㄹ/ETM
수	수/NNB
있다는	있/VV + 다는/ETM
점이	점/NNG + 이/JKS
디지털	디지털/NNG
기법의	기법/NNG + 의/JKG
최대	최대/NNG
매력"이라고	매력/NNG + "/SS + 이라고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

'고터다머룽'은	'/SS + 고터다머룽/NNP + '/SS + 은/JX
내년말쯤에나	내년/NNG + 말/NNB + 쯤/NNG + 에/JKB + 나/JX
완성될	완성/NNG + 되/XSV + ㄹ/ETM
예정이다.	예정/NNG + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
특수	특수/NNG
효과를	효과/NNG + 를/JKO
위한	위하/VV + ㄴ/ETM
디지털	디지털/NNG
기법은	기법/NNG + 은/JX
이미	이미/MAG
수년전부터	수/MM + 년/NNB + 전/NNG + 부터/JX
많은	많/VA + 은/ETM
영화에	영화/NNG + 에/JKB
응용되고	응용/NNG + 되/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

영화	영화/NNG
'윌로우'에	'/SS + 윌로우/NNP + '/SS + 에/JKB
나오는	나오/VV + 는/ETM
기이한	기이/XR + 하/XSA + ㄴ/ETM
동물들,	동물/NNG + 들/XSN + ,/SP
'트론'의	'/SS + 트론/NNP + '/SS + 의/JKG
컴퓨터	컴퓨터/NNG
내부,	내부/NNG + ,/SP
'어비스'의	'/SS + 어비스/NNP + '/SS + 의/JKG
심연	심연/NNG
생물,	생물/NNG + ,/SP
'터미네이터	'/SS + 터미네이터/NNP
2'의	2/SN + '/SS + 의/JKG
액체	액체/NNG
금속	금속/NNG
인간,	인간/NNG + ,/SP
'론머맨'의	'/SS + 론머맨/NNP + '/SS + 의/JKG
가상	가상/NNG
현실적인	현실/NNG + 적/XSN + 이/VCP + ㄴ/ETM
악몽	악몽/NNG
등은	등/NNB + 은/JX
모두	모두/MAG
컴퓨터가	컴퓨터/NNG + 가/JKS
만들어	만들/VV + 어/EC
낸	내/VX + ㄴ/ETM
디지털	디지털/NNG
영상들이다.	영상/NNG + 들/XSN + 이/VCP + 다/EF + ./SF

올해는	올해/NNG + 는/JX
디지털	디지털/NNG
기법이	기법/NNG + 이/JKS
대히트를	대/XPN + 히트/NNG + 를/JKO
치기	치/VV + 기/ETN
시작한	시작/NNG + 하/XSV + ㄴ/ETM
한해였다.	한/MM + 해/NNG + 이/VCP + 었/EP + 다/EF + ./SF

'클리프행어'는	'/SS + 클리프행어/NNP + '/SS + 는/JX
종래	종래/NNG
영화	영화/NNG
제작	제작/NNG
기법이	기법/NNG + 이/JKS
안고	안/VV + 고/EC
있던	있/VX + 던/ETM
문제를	문제/NNG + 를/JKO
디지털	디지털/NNG
기법으로	기법/NNG + 으로/JKB
말끔히	말끔히/MAG
해소한	해소/NNG + 하/XSV + ㄴ/ETM
작품이었다.	작품/NNG + 이/VCP + 었/EP + 다/EF + ./SF

실베스터	실베스터/NNP
스탤론이	스탤론/NNP + 이/JKS
밧줄에	밧줄/NNG + 에/JKB
매달려	매달리/VV + 어/EC
절벽에서	절벽/NNG + 에서/JKB
떨어지는	떨어지/VV + 는/ETM
장면에서	장면/NNG + 에서/JKB
디지털	디지털/NNG
기법은	기법/NNG + 은/JX
밧줄을	밧줄/NNG + 을/JKO
지워버림으로써	지우/VV + 어/EC + 버리/VX + ㅁ/ETN + 으로써/JKB
추락의	추락/NNG + 의/JKG
생생함을	생생/XR + 하/XSA + ㅁ/ETN + 을/JKO
더해	더/MAG + 하/XSV + 아/EC
주는	주/VX + 는/ETM
역할을	역할/NNG + 을/JKO
했다.	하/VV + 았/EP + 다/EF + ./SF

제작사는	제작사/NNG + 는/JX
이를	이/NP + 를/JKO
위해	위하/VV + 아/EC
고속	고속/NNG
디지털	디지털/NNG
영상	영상/NNG
처리용	처리/NNG + 용/XSN
IBM	IBM/SL
슈퍼	슈퍼/NNG
컴퓨터를	컴퓨터/NNG + 를/JKO
사용했다.	사용/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그	그/MM
결과	결과/NNG
실베스터	실베스터/NNP
스탤론이	스탤론/NNP + 이/JKS
진짜	진짜/NNG
암벽	암벽/NNG
등반	등반/NNG
챔피언처럼	챔피언/NNG + 처럼/JKB
깎아지른듯한	깎아지르/VV + ㄴ/ETM + 듯/NNB + 하/XSA + ㄴ/ETM
절벽을	절벽/NNG + 을/JKO
올라가는	올라가/VV + 는/ETM
장면을	장면/NNG + 을/JKO
실감나게	실감/NNG + 나/VV + 게/EC
처리할	처리/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있었다.	있/VV + 었/EP + 다/EF + ./SF

디지털	디지털/NNG
영상	영상/NNG
기법의	기법/NNG + 의/JKG
백미는	백미/NNG + 는/JX
'쥬라기공원'에서	'/SS + 쥬라기공원/NNP + '/SS + 에서/JKB
찾아	찾/VV + 아/EC
볼	보/VX + ㄹ/ETM
수	수/NNB
있다	있/VV + 다/EC
브라키오사우루스에서	브라키오사우루스/NNG + 에서/JKB
벨로시랩터에	벨로시랩터/NNG + 에/JKB
이르기까지	이르/VV + 기/ETN + 까지/JX
'쥬라기공원'에	'/SS + 쥬라기공원/NNP + '/SS + 에/JKB
나오는	나오/VV + 는/ETM
모든	모든/MM
공룡은	공룡/NNG + 은/JX
디지털	디지털/NNG
기법으로	기법/NNG + 으로/JKB
인해	인하/VV + 아/EC
진짜	진짜/NNG
유기체	유기체/NNG
같이	같이/MAG
행동할	행동/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있었다.	있/VV + 었/EP + 다/EF + ./SF

기린처럼	기린/NNG + 처럼/JKB
기다란	기다랗/VA + ㄴ/ETM
브라키오사우루스가	브라키오사우루스/NNG + 가/JKS
나뭇잎을	나뭇잎/NNG + 을/JKO
따먹는	따/VV + 아/EC + 먹/VV + 는/ETM
장면은	장면/NNG + 은/JX
먼저	먼저/MAG
크레인이	크레인/NNG + 이/JKS
나뭇가지를	나뭇가지/NNG + 를/JKO
잡아당기는	잡아당기/VV + 는/ETM
장면을	장면/NNG + 을/JKO
촬영한	촬영/NNG + 하/XSV + ㄴ/ETM
다음	다음/NNG
디지털	디지털/NNG
기법으로	기법/NNG + 으로/JKB
크레인을	크레인/NNG + 을/JKO
공룡으로	공룡/NNG + 으로/JKB
대체,	대체/NNG + ,/SP
실제	실제/NNG
공룡이	공룡/NNG + 이/JKS
나뭇잎을	나뭇잎/NNG + 을/JKO
따먹는	따/VV + 아/EC + 먹/VV + 는/ETM
효과를	효과/NNG + 를/JKO
내도록	내/VV + 도록/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

벨로시랩터	벨로시랩터/NNG
두	두/MM
마리가	마리/NNB + 가/JKS
부엌에	부엌/NNG + 에/JKB
숨은	숨/VV + 은/ETM
아이들을	아이/NNG + 들/XSN + 을/JKO
찾는	찾/VV + 는/ETM
장면도	장면/NNG + 도/JX
디지털	디지털/NNG
기법이	기법/NNG + 이/JKC
아니면	아니/VCN + 면/EC
불가능한	불/XPN + 가능/NNG + 하/XSA + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

벨로시랩터가	벨로시랩터/NNG + 가/JKS
아이들을	아이/NNG + 들/XSN + 을/JKO
찾아	찾/VV + 아/EC
어슬렁거리는	어슬렁거리/VV + 는/ETM
장면은	장면/NNG + 은/JX
공룡	공룡/NNG
모양의	모양/NNG + 의/JKG
고무옷을	고무/NNG + 옷/NNG + 을/JKO
입은	입/VV + 은/ETM
사람이	사람/NNG + 이/JKS
연기하지만	연기/NNG + 하/XSV + 지만/EC
그것이	그것/NP + 이/JKS
테이블을	테이블/NNG + 을/JKO
뛰어올랐다	뛰어오르/VV + 았/EP + 다/EC
내렸다	내리/VV + 었/EP + 다/EC
하는	하/VV + 는/ETM
장면은	장면/NNG + 은/JX
모두	모두/MAG
디지털	디지털/NNG
기법으로	기법/NNG + 으로/JKB
처리한	처리/NNG + 하/XSV + ㄴ/ETM
영상이다.	영상/NNG + 이/VCP + 다/EF + ./SF

목욕에도	목욕/NNG + 에/JKB + 도/JX
방법이	방법/NNG + 이/JKS
있는가.	있/VV + 는가/EF + ./SF

이런	이런/MM
의문에	의문/NNG + 에/JKB
대해	대하/VV + 아/EC
피부과	피부과/NNG
전문의들은	전문의/NNG + 들/XSN + 은/JX
"피부	"/SS + 피부/NNG
건강에	건강/NNG + 에/JKB
목욕법이	목욕법/NNG + 이/JKS
중요한	중요/NNG + 하/XSA + ㄴ/ETM
영향을	영향/NNG + 을/JKO
미친다"고	미치/VV + ㄴ다/EC + "/SS + 고/JKQ
충고한다.	충고/NNG + 하/XSV + ㄴ다/EF + ./SF

최근	최근/NNG
급속한	급속/NNG + 하/XSA + ㄴ/ETM
목욕	목욕/NNG
문화의	문화/NNG + 의/JKG
확산으로	확산/NNG + 으로/JKB
인해	인하/VV + 아/EC
목욕법의	목욕법/NNG + 의/JKG
중요성도	중요/NNG + 성/XSN + 도/JX
비중을	비중/NNG + 을/JKO
더하고	더/MAG + 하/XSV + 고/EC
있다는	있/VX + 다는/ETM
것이	것/NNB + 이/JKS
이들의	이/NP + 들/XSN + 의/JKG
설명이다.	설명/NNG + 이/VCP + 다/EF + ./SF

경희대	경희대/NNP
의대	의대/NNG
허충림	허충림/NNP
교수(피부과)에게	교수/NNG + (/SS + 피부과/NNG + )/SS + 에게/JKB
의학적	의학/NNG + 적/XSN
관점에서	관점/NNG + 에서/JKB
올바른	올바르/VA + ㄴ/ETM
목욕법을	목욕법/NNG + 을/JKO
들어	들/VV + 어/EC
본다.	보/VX + ㄴ다/EF + ./SF

▴	▴/SW
물의	물/NNG + 의/JKG
온도	온도/NNG
=	=/SW
따뜻함을	따뜻/XR + 하/XSA + ㅁ/ETN + 을/JKO
느낄	느끼/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
정도가	정도/NNG + 가/JKS
적당하다.	적당/XR + 하/XSA + 다/EF + ./SF

여름에는	여름/NNG + 에/JKB + 는/JX
조금	조금/MAG
차가운	차갑/VA + ㄴ/ETM
물로	물/NNG + 로/JKB
목욕하는	목욕/NNG + 하/XSV + 는/ETM
것이	것/NNB + 이/JKS
피부	피부/NNG
탄력성	탄력/NNG + 성/XSN
유지에	유지/NNG + 에/JKB
도움을	도움/NNG + 을/JKO
주고,	주/VV + 고/EC + ,/SP
겨울철에는	겨울철/NNG + 에/JKB + 는/JX
좀	좀/MAG
더	더/MAG
따끈따끈한	따끈따끈/MAG + 하/XSA + ㄴ/ETM
온도가	온도/NNG + 가/JKS
쾌적감을	쾌적감/NNG + 을/JKO
높인다.	높이/VV + ㄴ다/EF + ./SF

이	이/MM
때	때/NNG
피부	피부/NNG
온도가	온도/NNG + 가/JKS
급속히	급속히/MAG
변하지	변하/VV + 지/EC
않도록	않/VX + 도록/EC
팔-다리부터	팔/NNG + -/SS + 다리/NNG + 부터/JX
물의	물/NNG + 의/JKG
온도에	온도/NNG + 에/JKB
적응해	적응/NNG + 하/XSV + 아/EC
나가는	나가/VX + 는/ETM
것이	것/NNB + 이/JKS
중요하다.	중요/NNG + 하/XSA + 다/EF + ./SF

▴	▴/SW
목욕	목욕/NNG
시간-횟수	시간/NNG + -/SS + 횟수/NNG
=	=/SW
탕욕의	탕욕/NNG + 의/JKG
경우	경우/NNG
20	20/SN
~	~/SO
30분	30/SN + 분/NNB
정도가	정도/NNG + 가/JKS
적당.	적당/XR + ./SF

장시간의	장시간/NNG + 의/JKG
목욕은	목욕/NNG + 은/JX
피부를	피부/NNG + 를/JKO
침연시키고	침연/NNG + 시키/XSV + 고/EC
과도한	과도/NNG + 하/XSA + ㄴ/ETM
탈수를	탈수/NNG + 를/JKO
초래,	초래/NNG + ,/SP
목욕	목욕/NNG
후	후/NNG
피로감을	피로감/NNG + 을/JKO
증대시킨다.	증대/NNG + 시키/XSV + ㄴ다/EF + ./SF

횟수는	횟수/NNG + 는/JX
샤워의	샤워/NNG + 의/JKG
경우	경우/NNG
하루	하루/NNG
1회,	1/SN + 회/NNB + ,/SP
탕욕의	탕욕/NNG + 의/JKG
경우	경우/NNG
1	1/SN
~	~/SO
2주	2/SN + 주/NNB
1회가	1/SN + 회/NNB + 가/JKS
바람직하다.	바람직/XR + 하/XSA + 다/EF + ./SF

건조한	건조/NNG + 하/XSA + ㄴ/ETM
피부는	피부/NNG + 는/JX
시간과	시간/NNG + 과/JC
횟수를	횟수/NNG + 를/JKO
조금	조금/MAG
줄이고,	줄이/VV + 고/EC + ,/SP
지루성	지루/NNG + 성/XSN
피부는	피부/NNG + 는/JX
늘리는	늘리/VV + 는/ETM
것이	것/NNB + 이/JKS
좋다.	좋/VA + 다/EF + ./SF

과식이나	과식/NNG + 이나/JC
과음한	과음/NNG + 하/XSV + ㄴ/ETM
상태에서의	상태/NNG + 에서/JKB + 의/JKG
목욕은	목욕/NNG + 은/JX
되도록	되도록/MAG
피해야	피하/VV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

▴	▴/SW
비누	비누/NNG
사용	사용/NNG
=	=/SW
건성,	건성/NNG + ,/SP
지루성	지루/NNG + 성/XSN
피부	피부/NNG
등을	등/NNB + 을/JKO
위한	위하/VV + ㄴ/ETM
다양한	다양/NNG + 하/XSA + ㄴ/ETM
비누가	비누/NNG + 가/JKS
나와	나오/VV + 아/EC
있으므로	있/VX + 으므로/EC
자신의	자신/NNG + 의/JKG
피부에	피부/NNG + 에/JKB
적합한	적합/NNG + 하/XSA + ㄴ/ETM
제품을	제품/NNG + 을/JKO
사용하면	사용/NNG + 하/XSV + 면/EC
된다.	되/VV + ㄴ다/EF + ./SF

비누는	비누/NNG + 는/JX
손이나	손/NNG + 이나/JC
부드러운	부드럽/VA + ㄴ/ETM
수건을	수건/NNG + 을/JKO
이용하여	이용/NNG + 하/XSV + 아/EC
거품을	거품/NNG + 을/JKO
낸	내/VV + ㄴ/ETM
후	후/NNG
마사지하듯	마사지/NNG + 하/XSV + 듯/EC
전신에	전신/NNG + 에/JKB
부드럽게	부드럽/VA + 게/EC
바르고	바르/VV + 고/EC
씻어	씻/VV + 어/EC
낸다.	내/VX + ㄴ다/EF + ./SF

피부가	피부/NNG + 가/JKS
접히는	접히/VV + 는/ETM
부분은	부분/NNG + 은/JX
맑은	맑/VA + 은/ETM
물로	물/NNG + 로/JKB
충분히	충분히/MAG
씻어	씻/VV + 어/EC
내어	내/VX + 어/EC
비눗기가	비눗기/NNG + 가/JKS
남아	남/VV + 아/EC
있지	있/VX + 지/EC
않도록	않/VX + 도록/EC
주의해야	주의/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

과도한	과도/NNG + 하/XSA + ㄴ/ETM
비누	비누/NNG
사용은	사용/NNG + 은/JX
피부	피부/NNG
표면의	표면/NNG + 의/JKG
기름막을	기름/NNG + 막/NNG + 을/JKO
손상,	손상/NNG + ,/SP
피부	피부/NNG
건조와	건조/NNG + 와/JC
질환을	질환/NNG + 을/JKO
유발할	유발/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

▴	▴/SW
때수건	때수건/NNG
=	=/SW
가능한한	가능/NNG + 하/XSA + ㄴ/ETM + 한/NNG
사용하지	사용/NNG + 하/XSV + 지/EC
않는	않/VX + 는/ETM
것이	것/NNB + 이/JKS
좋다.	좋/VA + 다/EF + ./SF

때수건의	때수건/NNG + 의/JKG
과도한	과도/NNG + 하/XSA + ㄴ/ETM
사용은	사용/NNG + 은/JX
피부	피부/NNG
보호에서	보호/NNG + 에서/JKB
가장	가장/MAG
중요한	중요/NNG + 하/XSA + ㄴ/ETM
작용을	작용/NNG + 을/JKO
하는	하/VV + 는/ETM
각질층을	각질/NNG + 층/XSN + 을/JKO
깎아	깎/VV + 아/EC
내어	내/VX + 어/EC
피부의	피부/NNG + 의/JKG
방어력에	방어력/NNG + 에/JKB
결정적인	결정/NNG + 적/XSN + 이/VCP + ㄴ/ETM
손상을	손상/NNG + 을/JKO
초래,	초래/NNG + ,/SP
피부	피부/NNG
감염이나	감염/NNG + 이나/JC
자극성	자극/NNG + 성/XSN
접촉	접촉/NNG
피부염을	피부염/NNG + 을/JKO
일으킬	일으키/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

지속적으로	지속/NNG + 적/XSN + 으로/JKB
사용하면	사용/NNG + 하/XSV + 면/EC
피부가	피부/NNG + 가/JKS
건조해지고	건조/NNG + 하/XSA + 아/EC + 지/VX + 고/EC
거칠어지며,	거칠/VA + 어/EC + 지/VX + 며/EC + ,/SP
심한	심하/VA + ㄴ/ETM
경우	경우/NNG
탄성이	탄성/NNG + 이/JKS
없어지고	없/VA + 어/EC + 지/VX + 고/EC
주름이	주름/NNG + 이/JKS
쉽게	쉽/VA + 게/EC
생기며	생기/VV + 며/EC
노화	노화/NNG
현상이	현상/NNG + 이/JKS
빨리	빨리/MAG
온다.	오/VV + ㄴ다/EF + ./SF

▴	▴/SW
목욕	목욕/NNG
후	후/NNG
=	=/SW
발가락	발가락/NNG
사이,	사이/NNG + ,/SP
사타구니와	사타구니/NNG + 와/JKB
같이	같이/MAG
피부가	피부/NNG + 가/JKS
접히는	접히/VV + 는/ETM
부위는	부위/NNG + 는/JX
수건으로	수건/NNG + 으로/JKB
습기를	습기/NNG + 를/JKO
완전히	완전히/MAG
제거하고	제거/NNG + 하/XSV + 고/EC
건조시켜야	건조/NNG + 시키/XSV + 어야/EC
무좀	무좀/NNG
등	등/NNB
피부	피부/NNG
진균증을	진균증/NNG + 을/JKO
예방할	예방/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

건성	건성/NNG
피부는	피부/NNG + 는/JX
피부가	피부/NNG + 가/JKS
촉촉한	촉촉/XR + 하/XSA + ㄴ/ETM
상태에서	상태/NNG + 에서/JKB
로션크림	로션/NNG + 크림/NNG
등	등/NNB
피부	피부/NNG
보습제를	보습제/NNG + 를/JKO
발라주면	바르/VV + 아/EC + 주/VX + 면/EC
살비듬이나	살비듬/NNG + 이나/JC
가려움증을	가려움증/NNG + 을/JKO
막는다.	막/VV + 는다/EF + ./SF

여름철에는	여름철/NNG + 에/JKB + 는/JX
피부	피부/NNG
수렴제를	수렴제/NNG + 를/JKO
땀이	땀/NNG + 이/JKS
많이	많이/MAG
나는	나/VV + 는/ETM
얼굴부위	얼굴/NNG + 부위/NNG
등에	등/NNB + 에/JKB
가볍게	가볍/VA + 게/EC
바르면	바르/VV + 면/EC
피부	피부/NNG
탄력을	탄력/NNG + 을/JKO
높이고	높이/VV + 고/EC
청량감을	청량감/NNG + 을/JKO
더한다.	더/MAG + 하/XSV + ㄴ다/EF + ./SF

그런	그런/MM
다음	다음/NNG
가벼운	가볍/VA + ㄴ/ETM
의복을	의복/NNG + 을/JKO
걸치고	걸치/VV + 고/EC
땀이	땀/NNG + 이/JKS
완전히	완전히/MAG
멎을	멎/VV + 을/ETM
때까지	때/NNG + 까지/JX
30	30/SN
~	~/SO
40분간	40/SN + 분/NNB + 간/NNG
수면,	수면/NNG + ,/SP
휴식을	휴식/NNG + 을/JKO
취하는	취하/VV + 는/ETM
것이	것/NNB + 이/JKS
좋다.	좋/VA + 다/EF + ./SF

지나친	지나치/VA + ㄴ/ETM
탈수로	탈수/NNG + 로/JKB
갈증을	갈증/NNG + 을/JKO
느낄	느끼/VV + ㄹ/ETM
때는	때/NNG + 는/JX
야채	야채/NNG
주스나	주스/NNG + 나/JC
과일	과일/NNG
주스를	주스/NNG + 를/JKO
한	한/MM
잔	잔/NNG
정도	정도/NNG
마시면	마시/VV + 면/EC
된다.	되/VV + ㄴ다/EF + ./SF

▴	▴/SW
피부병이	피부병/NNG + 이/JKS
있는	있/VV + 는/ETM
경우	경우/NNG
=	=/SW
목욕	목욕/NNG
시간과	시간/NNG + 과/JC
횟수를	횟수/NNG + 를/JKO
가급적	가급적/MAG
줄이되	줄이/VV + 되/EC
건성인	건성/NNG + 이/VCP + ㄴ/ETM
경우	경우/NNG
물에	물/NNG + 에/JKB
전분이나	전분/NNG + 이나/JC
오일을	오일/NNG + 을/JKO
타서	타/VV + 아서/EC
하는	하/VX + 는/ETM
것이	것/NNB + 이/JKS
좋다.	좋/VA + 다/EF + ./SF

전분과	전분/NNG + 과/JC
오일	오일/NNG
성분은	성분/NNG + 은/JX
피부의	피부/NNG + 의/JKG
수분	수분/NNG
소실을	소실/NNG + 을/JKO
막는	막/VV + 는/ETM
작용을	작용/NNG + 을/JKO
하기	하/VV + 기/ETN
때문.	때문/NNB + ./SF

계면	계면/NNG
활성제가	활성제/NNG + 가/JKS
포함된	포함/NNG + 되/XSV + ㄴ/ETM
거품	거품/NNG
목욕은	목욕/NNG + 은/JX
피해야	피하/VV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

아토피성	아토피/NNG + 성/XSN
피부염	피부염/NNG
환자는	환자/NNG + 는/JX
따뜻한	따뜻/XR + 하/XSA + ㄴ/ETM
물을	물/NNG + 을/JKO
사용하며,	사용/NNG + 하/XSV + 며/EC + ,/SP
목욕	목욕/NNG
후	후/NNG
수건으로	수건/NNG + 으로/JKB
피부를	피부/NNG + 를/JKO
문지르지	문지르/VV + 지/EC
말고	말/VX + 고/EC
두드려서	두드리/VV + 어서/EC
말린다.	말리/VV + ㄴ다/EF + ./SF

물기를	물/NNG + 기/XSN + 를/JKO
닦은	닦/VV + 은/ETM
후에는	후/NNG + 에/JKB + 는/JX
보습력	보습력/NNG
있는	있/VV + 는/ETM
피부	피부/NNG
연화	연화/NNG
로션을	로션/NNG + 을/JKO
발라	바르/VV + 아/EC
주어야	주/VX + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

건성	건성/NNG
습진은	습진/NNG + 은/JX
지나치게	지나치/VA + 게/EC
뜨겁지	뜨겁/VA + 지/EC
않은	않/VX + 은/ETM
물을	물/NNG + 을/JKO
이용하며,	이용/NNG + 하/XSV + 며/EC + ,/SP
한냉	한냉/NNG
두드러기는	두드러기/NNG + 는/JX
반드시	반드시/MAG
찬	차/VA + ㄴ/ETM
물을	물/NNG + 을/JKO
피해야	피하/VV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

감기에서	감기/NNG + 에서/JKB
완전히	완전히/MAG
회복돼	회복/NNG + 되/XSV + 어/EC
코	코/NNG
막힘이	막히/VV + ㅁ/ETN + 이/JKS
사라졌는데도	사라지/VV + 었/EP + 는데/EC + 도/JX
계속	계속/MAG
냄새를	냄새/NNG + 를/JKO
맡기가	맡/VV + 기/ETN + 가/JKS
어렵다.	어렵/VA + 다/EF + ./SF

모든	모든/MM
냄새가	냄새/NNG + 가/JKS
기분나쁘게	기분/NNG + 나쁘/VA + 게/EC
느껴진다.	느끼/VV + 어/EC + 지/VX + ㄴ다/EF + ./SF

감기를	감기/NNG + 를/JKO
심하게	심하/VA + 게/EC
앓은	앓/VV + 은/ETM
뒤	뒤/NNG
나타나는	나타나/VV + 는/ETM
후각	후각/NNG
장애	장애/NNG
증상들이다.	증상/NNG + 들/XSN + 이/VCP + 다/EF + ./SF

인제대	인제대/NNP
의대	의대/NNG
정승규	정승규/NNP
교수(서울	교수/NNG + (/SS + 서울/NNP
백병원	백병원/NNP
이비인후과)는	이비인후과/NNG + )/SS + 는/JX
"감기가	"/SS + 감기/NNG + 가/JKS
나으면	낫/VV + 으면/EC
자연히	자연히/MAG
후각	후각/NNG
장애도	장애/NNG + 도/JX
사라지나,	사라지/VV + 나/EC + ,/SP
일부	일부/NNG
감기환자는	감기/NNG + 환자/NNG + 는/JX
후각	후각/NNG
장애가	장애/NNG + 가/JKS
길게는	길/VA + 게/EC + 는/JX
몇년간	몇/MM + 년/NNB + 간/NNG
지속된다"고	지속/NNG + 되/XSV + ㄴ다/EC + "/SS + 고/JKQ
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

서울	서울/NNP
백병원의	백병원/NNP + 의/JKG
경우	경우/NNG
지난	지나/VV + ㄴ/ETM
1년간	1/SN + 년/NNB + 간/NNB
후각	후각/NNG
이상으로	이상/NNG + 으로/JKB
찾아	찾/VV + 아/EC
온	오/VX + ㄴ/ETM
환자	환자/NNG
87	87/SN
명중	명/NNB + 중/NNB
7	7/SN
명이	명/NNB + 이/JKS
감기	감기/NNG
후	후/NNG
후각	후각/NNG
장애인데	장애/NNG + 이/VCP + ㄴ데/EC
비염이나	비염/NNG + 이나/JC
부비동염보다	부비동염/NNG + 보다/JKB
심한	심하/VA + ㄴ/ETM
후각	후각/NNG
장애	장애/NNG
증세를	증세/NNG + 를/JKO
보인다는	보이/VV + ㄴ다는/ETM
것.	것/NNB + ./SF

감기	감기/NNG
후	후/NNG
후각	후각/NNG
장애는	장애/NNG + 는/JX
대부분	대부분/NNG
고열,	고/XPN + 열/NNG + ,/SP
